angle	angular error	rotation error
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	0
		
0	-6.28	-0.2
		
0	-6.28	-0.2
		
0	-6.28	-0.2
		
0.01	-6.27	-0.2
		
0.01	-6.27	-0.2
		
0.01	-6.27	-0.2
		
0.01	-6.27	-0.2
		
0.01	-6.27	-0.2
		
0.01	-6.27	-0.2
		
0.01	-6.27	-0.2
		
0.01	-6.27	-0.2
		
0.01	-6.27	-0.2
		
0.02	-6.27	-0.2
		
0.02	-6.27	-0.2
		
0.02	-6.27	-0.2
		
0.02	-6.27	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.02	-6.26	-0.2
		
0.03	-6.25	-0.2
		
0.03	-6.25	-0.2
		
0.03	-6.25	-0.2
		
0.03	-6.25	-0.2
		
0.03	-6.25	-0.2
		
0.03	-6.25	-0.2
		
0.03	-6.25	-0.2
		
0.03	-6.25	-0.2
		
0.03	-6.25	-0.2
		
0.03	-6.25	-0.2
		
0.04	-6.24	-0.2
		
0.04	-6.24	-0.2
		
0.04	-6.24	-0.2
		
0.04	-6.24	-0.2
		
0.04	-6.24	-0.2
		
0.04	-6.24	-0.2
		
0.04	-6.24	-0.2
		
0.04	-6.24	-0.2
		
0.04	-6.24	-0.2
		
0.05	-6.23	-0.2
		
0.05	-6.23	-0.2
		
0.05	-6.23	-0.2
		
0.05	-6.23	-0.2
		
0.05	-6.23	-0.2
		
0.05	-6.23	-0.2
		
0.05	-6.23	-0.2
		
0.05	-6.23	-0.2
		
0.05	-6.23	-0.2
		
0.06	-6.23	-0.2
		
0.06	-6.23	-0.2
		
0.06	-6.23	-0.2
		
0.06	-6.23	-0.2
		
0.06	-6.22	-0.2
		
0.06	-6.22	-0.2
		
0.06	-6.22	-0.2
		
0.06	-6.22	-0.2
		
0.06	-6.22	-0.2
		
0.07	-6.22	-0.2
		
0.07	-6.22	-0.2
		
0.07	-6.22	-0.2
		
0.07	-6.22	-0.2
		
0.07	-6.22	-0.2
		
0.07	-6.21	-0.2
		
0.07	-6.21	-0.2
		
0.07	-6.21	-0.2
		
0.07	-6.21	-0.2
		
0.08	-6.21	-0.2
		
0.08	-6.21	-0.2
		
0.08	-6.21	-0.2
		
0.08	-6.21	-0.2
		
0.08	-6.21	-0.2
		
0.08	-6.21	-0.2
		
0.08	-6.21	-0.2
		
0.08	-6.21	-0.2
		
0.08	-6.21	-0.2
		
0.09	-6.2	-0.2
		
0.09	-6.2	-0.2
		
0.09	-6.2	-0.2
		
0.09	-6.2	-0.2
		
0.09	-6.2	-0.2
		
0.09	-6.2	-0.2
		
0.09	-6.19	-0.2
		
0.09	-6.19	-0.2
		
0.09	-6.19	-0.2
		
0.1	-6.19	-0.2
		
0.1	-6.19	-0.2
		
0.1	-6.19	-0.2
		
0.1	-6.19	-0.2
		
0.1	-6.19	-0.2
		
0.1	-6.19	-0.2
		
0.1	-6.18	-0.2
		
0.1	-6.18	-0.2
		
0.1	-6.18	-0.2
		
0.11	-6.18	-0.2
		
0.11	-6.18	-0.2
		
0.11	-6.17	-0.2
		
0.11	-6.17	-0.2
		
0.11	-6.17	-0.2
		
0.11	-6.17	-0.2
		
0.11	-6.17	-0.2
		
0.11	-6.17	-0.2
		
0.11	-6.17	-0.2
		
0.12	-6.17	-0.2
		
0.12	-6.17	-0.2
		
0.12	-6.17	-0.2
		
0.12	-6.17	-0.2
		
0.12	-6.16	-0.2
		
0.12	-6.16	-0.2
		
0.12	-6.16	-0.2
		
0.12	-6.16	-0.2
		
0.12	-6.16	-0.2
		
0.13	-6.16	-0.2
		
0.13	-6.15	-0.2
		
0.13	-6.15	-0.2
		
0.13	-6.15	-0.2
		
0.13	-6.15	-0.2
		
0.13	-6.15	-0.2
		
0.13	-6.15	-0.2
		
0.13	-6.15	-0.2
		
0.13	-6.15	-0.2
		
0.14	-6.15	-0.2
		
0.14	-6.15	-0.2
		
0.14	-6.14	-0.2
		
0.14	-6.14	-0.2
		
0.14	-6.14	-0.2
		
0.14	-6.14	-0.2
		
0.14	-6.14	-0.2
		
0.14	-6.14	-0.2
		
0.14	-6.14	-0.2
		
0.15	-6.13	-0.2
		
0.15	-6.13	-0.2
		
0.15	-6.13	-0.2
		
0.15	-6.13	-0.2
		
0.15	-6.13	-0.2
		
0.15	-6.13	-0.2
		
0.15	-6.13	-0.2
		
0.15	-6.13	-0.2
		
0.15	-6.13	-0.2
		
0.15	-6.13	-0.2
		
0.16	-6.12	-0.2
		
0.16	-6.12	-0.2
		
0.16	-6.12	-0.2
		
0.16	-6.12	-0.2
		
0.16	-6.12	-0.2
		
0.16	-6.12	-0.2
		
0.16	-6.12	-0.2
		
0.16	-6.12	-0.2
		
0.16	-6.12	-0.2
		
0.17	-6.11	-0.2
		
0.17	-6.11	-0.2
		
0.17	-6.11	-0.2
		
0.17	-6.11	-0.2
		
0.17	-6.11	-0.2
		
0.17	-6.11	-0.2
		
0.17	-6.11	-0.2
		
0.17	-6.11	-0.2
		
0.17	-6.11	-0.2
		
0.18	-6.1	-0.2
		
0.18	-6.1	-0.2
		
0.18	-6.1	-0.2
		
0.18	-6.1	-0.2
		
0.18	-6.1	-0.2
		
0.18	-6.1	-0.2
		
0.18	-6.1	-0.2
		
0.18	-6.1	-0.2
		
0.18	-6.1	-0.2
		
0.19	-6.09	-0.2
		
0.19	-6.09	-0.2
		
0.19	-6.09	-0.2
		
0.19	-6.09	-0.2
		
0.19	-6.09	-0.2
		
0.19	-6.09	-0.2
		
0.19	-6.09	-0.2
		
0.19	-6.09	-0.2
		
0.19	-6.09	-0.2
		
0.2	-6.08	-0.2
		
0.2	-6.08	-0.2
		
0.2	-6.08	-0.2
		
0.2	-6.08	-0.2
		
0.2	-6.08	-0.2
		
0.2	-6.08	-0.2
		
0.21	-6.08	-0.2
		
0.21	-6.08	-0.2
		
0.21	-6.08	-0.2
		
0.21	-6.07	-0.2
		
0.21	-6.07	-0.2
		
0.21	-6.07	-0.2
		
0.21	-6.07	-0.2
		
0.21	-6.07	-0.2
		
0.21	-6.07	-0.2
		
0.22	-6.07	-0.2
		
0.22	-6.07	-0.2
		
0.22	-6.07	-0.2
		
0.22	-6.06	-0.2
		
0.22	-6.06	-0.2
		
0.22	-6.06	-0.2
		
0.22	-6.06	-0.2
		
0.22	-6.06	-0.2
		
0.22	-6.06	-0.2
		
0.22	-6.06	-0.2
		
0.22	-6.06	-0.2
		
0.23	-6.06	-0.2
		
0.23	-6.05	-0.2
		
0.23	-6.05	-0.2
		
0.23	-6.05	-0.2
		
0.23	-6.05	-0.2
		
0.23	-6.05	-0.2
		
0.24	-6.05	-0.2
		
0.24	-6.05	-0.2
		
0.24	-6.05	-0.2
		
0.24	-6.05	-0.2
		
0.24	-6.04	-0.2
		
0.24	-6.04	-0.2
		
0.24	-6.04	-0.2
		
0.24	-6.04	-0.2
		
0.24	-6.04	-0.2
		
0.25	-6.04	-0.2
		
0.25	-6.04	-0.2
		
0.25	-6.04	-0.2
		
0.25	-6.04	-0.2
		
0.25	-6.03	-0.2
		
0.25	-6.03	-0.2
		
0.26	-6.03	-0.2
		
0.26	-6.03	-0.2
		
0.26	-6.03	-0.2
		
0.26	-6.03	-0.2
		
0.26	-6.03	-0.2
		
0.26	-6.03	-0.2
		
0.26	-6.03	-0.2
		
0.26	-6.02	-0.2
		
0.26	-6.02	-0.2
		
0.27	-6.02	-0.2
		
0.27	-6.02	-0.2
		
0.27	-6.02	-0.2
		
0.27	-6.02	-0.2
		
0.27	-6.02	-0.2
		
0.27	-6.02	-0.2
		
0.27	-6.02	-0.2
		
0.27	-6.02	-0.2
		
0.28	-6.01	-0.2
		
0.28	-6.01	-0.2
		
0.28	-6.01	-0.2
		
0.28	-6.01	-0.2
		
0.28	-6.01	-0.2
		
0.28	-6.01	-0.2
		
0.28	-6.01	-0.2
		
0.28	-6	-0.2
		
0.28	-6	-0.2
		
0.29	-6	-0.2
		
0.29	-6	-0.2
		
0.29	-6	-0.2
		
0.29	-6	-0.2
		
0.29	-6	-0.2
		
0.29	-6	-0.2
		
0.29	-6	-0.2
		
0.29	-6	-0.2
		
0.29	-6	-0.2
		
0.3	-5.99	-0.2
		
0.3	-5.99	-0.2
		
0.3	-5.99	-0.2
		
0.3	-5.99	-0.2
		
0.3	-5.99	-0.2
		
0.3	-5.98	-0.2
		
0.3	-5.98	-0.2
		
0.3	-5.98	-0.2
		
0.3	-5.98	-0.2
		
0.31	-5.98	-0.2
		
0.31	-5.98	-0.2
		
0.31	-5.98	-0.2
		
0.31	-5.98	-0.2
		
0.31	-5.98	-0.2
		
0.31	-5.97	-0.2
		
0.31	-5.97	-0.2
		
0.31	-5.97	-0.2
		
0.31	-5.97	-0.2
		
0.32	-5.97	-0.2
		
0.32	-5.96	-0.2
		
0.32	-5.96	-0.2
		
0.32	-5.96	-0.2
		
0.32	-5.96	-0.2
		
0.32	-5.96	-0.2
		
0.32	-5.96	-0.2
		
0.32	-5.96	-0.2
		
0.32	-5.96	-0.2
		
0.33	-5.95	-0.2
		
0.33	-5.95	-0.2
		
0.33	-5.95	-0.2
		
0.33	-5.95	-0.2
		
0.33	-5.95	-0.2
		
0.33	-5.95	-0.2
		
0.33	-5.95	-0.2
		
0.33	-5.95	-0.2
		
0.33	-5.95	-0.2
		
0.34	-5.94	-0.2
		
0.34	-5.94	-0.2
		
0.34	-5.94	-0.2
		
0.34	-5.94	-0.2
		
0.34	-5.94	-0.2
		
0.34	-5.94	-0.2
		
0.34	-5.94	-0.2
		
0.34	-5.94	-0.2
		
0.34	-5.94	-0.2
		
0.35	-5.93	-0.2
		
0.35	-5.93	-0.2
		
0.35	-5.93	-0.2
		
0.35	-5.93	-0.2
		
0.35	-5.93	-0.2
		
0.35	-5.93	-0.2
		
0.35	-5.93	-0.2
		
0.35	-5.93	-0.2
		
0.35	-5.93	-0.2
		
0.36	-5.92	-0.2
		
0.36	-5.92	-0.2
		
0.36	-5.92	-0.2
		
0.36	-5.92	-0.2
		
0.36	-5.92	-0.2
		
0.36	-5.92	-0.2
		
0.36	-5.92	-0.2
		
