displacement	deviation_error
-0.2	0.2
12.93	-0.2
20	0
24.24	-0.2
35.96	-0.81
66.06	-2.02
110.51	-3.43
202.02	-4.65
222.22	-6.06
242.22	-7.27
290.91	-8.69
390.51	-8.48
407.68	-8.69
422.22	-8.48
456.16	-7.07
499.39	-7.27
582.22	-8.89
586.06	-10.1
613.13	-9.9
625.45	-10.1
628.28	-9.7
631.11	-8.48
652.73	-7.07
660.81	-5.86
669.29	-6.06
686.46	-5.86
694.95	-6.06
701.62	-5.86
733.13	-4.44
741.21	-3.23
767.27	-1.82
772.53	-2.02
787.88	-3.43
792.32	-3.23
812.12	-1.82
825.45	-2.22
846.26	-1.82
850.51	-2.02
860.61	-1.82
867.27	-0.61
878.59	0.2
880.61	0.81
887.27	0.61
889.7	0
906.87	-0.81
911.11	-2.02
918.18	-1.82
925.25	-0.61
939.6	0.2
942.42	0.81
947.07	0.4
954.14	0.81
987.88	0.4
989.49	0
995.15	0.2
